156,148,1921
148,147,1953
147,181,1479
181,178,1810
178,176,1778
176,12,1313
12,164,1172
164,167,1166
167,168,1291
168,153,424
153,179,1590
179,173,1217
173,172,925
172,177,852
177,152,774
152,162,1230
162,180,1377
180,13,790
13,72,1385
72,170,1673
170,171,1714
171,154,1375
154,150,2002
150,169,1894
169,157,1912
157,149,1763
149,174,1700
174,159,1465
159,163,990
163,165,1225
165,166,1257
166,175,776
175,160,2238
160,161,1863
64,186,909
64,142,1899
186,191,960
191,153,1832
153,184,1234
184,198,929
198,193,851
193,196,1171
196,187,1634
187,183,1023
183,162,945
162,185,1763
185,188,1027
188,51,824
51,199,2228
199,182,794
182,192,1237
192,142,1766
200,201,1363
201,131,1251
131,232,1672
232,202,1295
202,234,887
234,14,900
14,218,1063
218,222,1051
222,122,1658
122,205,1517
205,64,1441
64,229,1025
229,216,1100
216,225,1100
225,214,869
214,179,1011
179,198,815
198,204,1152
204,220,1200
220,67,1643
67,215,1480
215,21,827
21,208,989
208,146,2798
146,224,5102
224,206,1810
206,207,1128
207,233,1096
233,217,1200
217,212,1214
212,211,987
211,231,2035
231,219,2918
219,221,1811
254,253,939
253,255,965
255,55,1544
55,248,1305
248,236,1286
236,103,3000
103,245,1838
245,16,1122
16,244,1025
244,243,1059
243,199,1151
199,235,866
235,257,791
257,242,1016
242,240,848
240,152,945
152,187,821
187,238,876
238,252,1183
252,87,1900
87,249,905
249,37,1670
47,281,1438
281,289,839
289,288,1792
288,278,1794
278,285,2276
285,271,2140
271,8,1508
8,274,1431
274,258,1166
258,266,1664
266,186,887
186,216,1443
216,259,1321
259,280,1349
280,242,1937
242,185,1399
185,268,1668
268,15,845
15,80,1450
80,284,2036
284,283,1282
283,290,3999
290,275,1238
275,263,1854
263,262,1405
262,287,2115
287,286,2557
286,261,3011
261,260,1599
260,272,929
272,270,1346
270,279,1194
292,317,935
317,295,734
295,298,1874
298,204,1374
204,302,885
302,320,1205
320,313,869
313,238,1016
238,299,1138
299,300,1332
300,36,1241
36,83,1311
83,296,781
296,291,865
291,304,903
304,311,1464
311,305,906
305,321,1679
321,315,1304
315,308,1021
308,307,1678
307,310,1752
310,301,2517
301,319,2961
319,318,2110
318,314,1160
314,297,1195
297,160,1425
160,312,1000
312,161,769
354,351,2318
351,340,1985
340,333,2056
333,54,1114
54,350,1894
350,347,1543
347,349,1041
349,337,2553
337,342,2555
342,100,1016
100,325,1667
325,3,900
3,323,1018
323,322,1274
322,192,1083
192,343,1188
343,280,902
280,352,1437
352,336,873
336,177,762
177,196,1857
196,320,1085
320,344,881
344,95,1800
95,338,741
338,331,845
331,327,1678
327,332,2446
332,329,1537
329,334,1215
334,346,1684
346,328,2076
328,355,1510
122,258,1096
258,356,943
356,164,1912
164,292,1398
292,367,1170
367,26,1309
26,88,1778
88,359,1325
359,361,1585
361,365,980
365,360,788
360,362,1347
2,38,1110
38,14,950
14,44,975
44,45,1058
45,43,1101
43,27,1330
27,19,973
19,3,1100
3,1,1020
1,16,982
